"GeneID","CoefficientTraining"
"UBQLN2",-5.90278587031313e-05
"SUPV3L1",-5.89653470121994e-05
"C9orf40",-5.8895535474893e-05
"FDPS",-5.87827894698031e-05
"RPA2",-5.86455398374747e-05
"TPD52L2",-5.86203737144952e-05
"C14orf1",-5.86172893289765e-05
"PUS7L",-5.84256602680979e-05
"HS3ST3A1",-5.82069372321551e-05
"PRSS23",-5.81991075256524e-05
"GRIK2",-5.81398005895251e-05
"CP",-5.79733853099961e-05
"MAP3K7",-5.78449523132364e-05
"EXOG",-5.78117451371046e-05
"ACADVL",-5.78050678460811e-05
"ASPH",-5.77864126206533e-05
"ZC2HC1A",-5.77596789686815e-05
"EIF1",-5.77181896853553e-05
"SLC35F2",-5.73550280642561e-05
"SFXN1",-5.7212570352393e-05
"MALT1",-5.72111108913631e-05
"CFH",-5.71588266563825e-05
"SEMA3G",-5.70896648794711e-05
"CCL22",-5.70683122955015e-05
"PCSK7",-5.70094149115155e-05
"WWC3",-5.70032741877455e-05
"TRMO",-5.69797984403392e-05
"SOSTDC1",-5.69529881315096e-05
"RAN",-5.69384548152414e-05
"TBC1D8B",-5.68745422822398e-05
"CEND1",-5.67649194487915e-05
"GPN1",-5.67072343566684e-05
"SCAMP4",-5.66481452355454e-05
"ASGR1",-5.6644157436462e-05
"PTER",-5.65169413161411e-05
"SLC16A6",-5.65095690044911e-05
"EFL1",-5.6417773828337e-05
"SKP1",-5.63123741498342e-05
"MAP1B",-5.62351742157697e-05
"COQ6",-5.6217152198002e-05
"TNFRSF4",-5.62008467725748e-05
"EXOSC9",-5.61985293178872e-05
"ESR1",-5.60355927591496e-05
"STYXL1",-5.5963572724084e-05
"SIRT3",-5.5826966482578e-05
"ARMC6",-5.57062092727504e-05
"ROM1",-5.56874587333918e-05
"DAP",-5.56575821826639e-05
"GPR85",-5.55710534814101e-05
"SLC46A3",-5.55050963429721e-05
"TEX2",-5.54697560386541e-05
"GNLY",-5.53588160852675e-05
