GeneID,CoefficientTraining
PAWR,-0.00275
RPS20,0.00042
PFKFB2,0.07295
INTS10,-0.00331
TRAFD1,0.01042
DYNLT1,0.02717
SAP30,0.00999
AKIRIN2,0.03322
SEPHS1,-0.00078
LILRB1,0.02124
RNMT,-0.02116
CCDC50,-0.02742
LOXL3,0.03191
FAR2,0.02709
ALDH3B1,-0.01869
SCN3A,-0.08105
HNRNPM,-0.0091
CDC14B,0.05529
DENND1A,0.01357
KCNMB1,0.00157
SRM,-0.0203
CCL23,0.01063
RAB31,0.02793
CETP,0.00774
DNASE1L1,-0.00012
PSMB9,0.03059
EIF3D,0.00585
OGDH,0.02911
LRRC8C,-0.05488
DNAJB1,-0.01368
DARS,0.03285
DRAXIN,0.02671
EEF1E1,-0.01228
NSUN2,-0.0191
TDP1,-0.01907
AGPAT2,0.00436
TLR10,-0.02363
VPS51,-0.00647
VOPP1,0.02833
PNPLA6,0.01151
SIDT1,-0.0204
RDH14,-0.00496
CD6,0.00635
ITGB3,0.01556
LGALS3BP,-0.04455
FBXO21,0.02549
FUT8,-0.02198
FAM84B,0.00091
SIRT4,-0.00795
EXOSC2,-0.00884
HABP4,-0.00069
GFRA2,0.02107
CSTF3,-0.05217
CSTA,-0.00072
FBN2,0.01748
GNG2,0.04268
GYPB,-0.02982
RPL17,-0.01936
PIGN,-0.04716
CHI3L2,-0.08093
THAP11,-0.00311
FKBP11,-0.02818
ANTXR2,0.05731
PNN,-0.03053
MARCO,0.01216
USP11,-0.00963
MSH6,-0.02307
PCID2,-0.03334
SH3PXD2A,-0.00183
DUSP1,0.01944
ZNF239,0.02673
TAGAP,0.02592
RFC4,-0.02311
SERPINB2,0.0175
THBS1,0.0018
PPP1R3E,0.02226
GRN,0.01414
RRN3P1,0.00326
RPL36,0.027
AKAP7,-0.00937
TASP1,-0.03307
CD68,0.02835
EPAS1,0.0526
HNRNPA0,0.0171
SH3BP2,0.016
PROS1,0.01477
ACKR3,-0.02017
GYPE,-0.03674
VNN1,0.01991
VWF,0.04952
CCDC170,0.05317
OASL,-0.00564
SRPK1,0.03944
METTL1,-0.07304
GAS7,-0.01179
EFHD1,0.02134
CYP1B1,0.03626
PITPNC1,-0.05892
LYRM4,-0.02903
MTR,-0.02781
TIMD4,-0.03606
KIF20B,-0.02968
LINGO2,0.02659
UBE2D2,-0.01558
MPHOSPH9,-0.0381
HSPA9,-0.00272
ANKRD9,0.02529
SH3BGRL3,0.02237
CYP2E1,-0.04636
BIVM,-0.05679
CNOT7,-0.00414
WSB2,0.0531
ALKBH8,-0.0271
ZNF839,-0.03288
CASP1,0.0026
MRPL24,-0.01536
TTC39B,-0.03151
GID8,-0.00487
HLTF,0.00271
PAK1IP1,-0.01892
EWSR1,-0.03542
CLEC4D,0.04551
PRKCH,-0.02432
GPX3,0.02367
ZMYND19,-0.03623
RPS29,-0.02419
REEP4,0.02002
STX6,0.04574
BLK,-0.00461
FAM184A,0.01323
TADA3,0.04878
MALT1,-0.03134
NDFIP1,-0.00999
HMOX1,-0.01095
TMEM245,-0.02465
RPL13AP3,0.04525
DENR,-0.00649
ZNF470,-0.03828
ABCB1,-0.04415
BNC2,0.06983
BEX1,0.04467
DUSP16,-0.04239
ATL3,0.03813
TOMM20,-0.0007
RPS2,0.01746
NOL6,-0.00837
TIPARP,0.01625
CDK4,-0.02345
C20orf24,0.00394
LYRM7,-0.02109
U2AF1L4,-0.008
ATR,0.00114
ADORA2A,-0.0198
TFE3,0.01425
NARG2,-0.04887
PNKD,0.00502
FBXL5,0.02772
RAB3IP,-0.01239
AGAP1,-0.00092
GPRASP1,-0.07277
ADAM15,-0.00478
C12orf29,0.00084
PTPLAD1,0.02896
TMTC1,0.04324
OCIAD1,-0.00156
KIAA0922,-0.02992
PPP1R2,0.03102
CTSC,-0.01066
CSPP1,-0.01202
NUDT9,-0.01987
SMAD3,-0.00569
ERCC6L2,-0.01118
BDH1,-0.01501
MYOF,0.00308
RPP40,-0.00526
YTHDF1,-0.03072
CD33,-0.00144
DYSF,0.00871
UBAP2,-0.06553
EMP1,0.0582
BOD1,-0.00409
CASZ1,-0.01438
SFXN2,-0.03548
ZNF26,-0.02979
